rep,method,estimate,error,estimate_income,error_income,main_l2,pair_l2,validation_tv,ess,max_weight,num_trees
25,EB-offset hybrid: pairwise,5.77439513048455,0.10486516965457682,25493.19333597342,970.2785377671426,1.0617478223469903e-13,1.7531517265866547e-13,0.0060834894851841915,194.9870510126604,0.022214694338412146,0.0
26,Biased source,7.388730735576306,1.7192007747463327,41246.46666666667,16723.55186846039,1.0392375660610806,1.1505797780697467,0.12158562491596896,449.9999999999999,0.0022222222222222222,
26,Main-effect EB,5.819142559870284,0.1496125990403101,22121.289234178068,-2401.6255640282106,1.8475506108107447e-14,0.5739139670737136,0.012155840886855129,247.22964643069625,0.013706137687341665,
26,Fixed pairwise EB,5.847333792318262,0.17780383148828793,24517.69735237699,-5.217445829290227,6.095367393127976e-13,1.0134812058502154e-12,0.007210506410421178,153.95980154273025,0.033429962109763046,
26,EB-offset hybrid: main,5.827454871038068,0.15792491020809418,22451.472521707616,-2071.442276498663,2.2436330900484405e-09,0.5305909209892483,0.011324690358407682,242.58350660776523,0.014711483396666461,4.0
26,EB-offset hybrid: pairwise,5.846761985120557,0.17723202429058293,24622.963175552923,100.04837734664397,4.623786299249573e-15,9.450232183295652e-15,0.007246620198174006,153.30437702955925,0.033430578686608405,2.0
27,Biased source,7.1591581657195205,1.4896282048895468,38049.26666666667,13526.351868460391,0.916141868081125,1.026263310560071,0.104927610506086,449.9999999999999,0.0022222222222222222,
27,Main-effect EB,5.675812881214614,0.006282920384640178,21694.28810262869,-2828.62669557759,8.844391394277939e-09,0.8261549133386668,0.015859648585403424,265.51989820572106,0.012925635048710585,
27,Fixed pairwise EB,5.765623278357262,0.09609331752728867,25912.289368457445,1389.374570251166,8.465548802683418e-13,1.4486197271017908e-12,0.008529493685750898,108.12886840381081,0.049627564232393104,
27,EB-offset hybrid: main,5.6559983801641875,-0.01353158066578608,21705.920949404786,-2816.9938488014923,2.9322802004981524e-09,0.7488657287347661,0.015214840761190104,255.34125055557664,0.015938000530867004,4.0
27,EB-offset hybrid: pairwise,5.802733086820636,0.1332031259906623,26379.081384213965,1856.1665860076864,8.087030465402467e-14,1.9037196135016268e-13,0.007521116377382915,111.83549999620749,0.04450154742551547,18.0
28,Biased source,6.932827875008314,1.2632979141783407,37278.57777777778,12755.662979571498,0.8442659336631293,0.9674249585934185,0.10048262826140275,449.9999999999999,0.0022222222222222222,
28,Main-effect EB,5.70747409042216,0.03794412959218629,22804.412256030493,-1718.5025421757855,2.2791835614525574e-15,0.5411241086316239,0.01314199777098936,294.0517282757185,0.011228855373460396,
28,Fixed pairwise EB,5.819073531741487,0.14954357091151316,25160.727197797558,637.8123995912792,2.19053230348359e-10,2.987099933645214e-10,0.004708291038860715,232.54036312038016,0.01673067690131434,
