method,estimate,error,ess,main_l2,pair_l2,latent_z_l2,num_trees,rep
Naive respondents,200.48336314507887,-9.556535550341664,486.00000000000034,0.4241127384313904,0.18730642275249687,0.45893960889504015,0.0,27
OLS prediction,208.88265497470664,-1.1572437207138933,,,,,,27
EB main,207.83404585321964,-2.2058528422008976,366.6255219521016,2.931586565995004e-09,0.33424758208415223,0.17481939524891144,0.0,27
EB pairwise,210.63144819463176,0.5915494992112258,317.7517864130425,2.168572985582404e-11,3.3151857690051434e-11,0.027460237888754794,0.0,27
EB-offset hybrid: main,208.9039355913387,-1.1359631040818385,364.19965067218135,4.762458902215705e-10,0.2493311717027051,0.13492237594506443,11.0,27
EB-offset hybrid: pairwise,210.71441338273817,0.6745146873176395,318.2199240185215,7.48465280118259e-15,9.005055372617353e-15,0.029157813678315,9.0,27
Naive respondents,201.896031596842,-8.412405127045673,486.99999999999966,0.46757183077845643,0.19477062735070816,0.45625093542841655,0.0,28
OLS prediction,209.69227386850665,-0.6161628553810203,,,,,,28
EB main,209.07287438301412,-1.2355623408735426,350.2762472258576,6.888430056767748e-11,0.3124916990405276,0.16381626273467018,0.0,28
EB pairwise,211.1070499561499,0.7986132322622268,287.8697877918979,6.4784337902640246e-15,8.861605278299042e-15,0.033876135100082395,0.0,28
EB-offset hybrid: main,209.12718158391422,-1.1812551399734446,344.90179695945886,1.0545131254264262e-09,0.30351372070921895,0.15427465985335206,6.0,28
EB-offset hybrid: pairwise,211.3935303671965,1.0850936433088236,284.3003316947527,6.674363546815832e-13,1.0822002555014784e-12,0.034149118151407296,22.0,28
Naive respondents,200.007155853269,-8.220215159301688,498.99999999999994,0.45698624219015127,0.1679251466966656,0.4637003123159019,0.0,29
OLS prediction,205.38419010154965,-2.843180911021051,,,,,,29
EB main,202.6894136285402,-5.537957384030506,363.348090883446,5.315217905331086e-10,1.0387114993601043,0.23247554625353997,0.0,29
EB pairwise,206.6616888405534,-1.56568217201729,301.77427855581567,2.5566781882683804e-13,1.0015886437201353e-12,0.08545733293353462,0.0,29
EB-offset hybrid: main,205.53953124201072,-2.6878397705599752,369.70695422549926,5.585392060356896e-09,0.5014484403277213,0.1472626509381129,16.0,29
EB-offset hybrid: pairwise,207.5548713864211,-0.6724996261496017,302.07712206246947,3.344168632060401e-15,2.4228720845090973e-15,0.11489578605737386,22.0,29
Naive respondents,200.22880714354656,-9.196229160292546,505.9999999999996,0.4100807872174813,0.17717731537074166,0.44285018818502186,0.0,30
OLS prediction,207.56967174670518,-1.8553645571339246,,,,,,30
EB main,206.6324655171476,-2.792570786691499,386.8876881846467,2.587755962497987e-09,0.3391254405635235,0.21802268697479035,0.0,30
EB pairwise,209.35607401880966,-0.06896228502944268,327.0790354511629,2.7465294867031256e-14,5.610879516063168e-14,0.04599040179541967,0.0,30
EB-offset hybrid: main,206.8093886768753,-2.6156476269638063,386.1112243432544,1.0805780843614199e-10,0.3184183629502907,0.20805461559234262,1.0,30
EB-offset hybrid: pairwise,209.5685593002381,0.14352299639898547,331.24734467987605,4.499148142211498e-15,3.8587957762180354e-15,0.04135173719198956,9.0,30
Naive respondents,200.20750751320486,-9.836903585965075,493.0,0.43312422424358793,0.2028934507403828,0.4729045970510105,0.0,31
OLS prediction,209.84575258879352,-0.19865851037641846,,,,,,31
EB main,208.64509289877796,-1.3993182003919742,350.6717101386435,5.923514334152318e-15,0.27251663942971316,0.16728455663541966,0.0,31
EB pairwise,209.62150842354293,-0.42290267562700024,312.06671389692025,5.740180055278623e-13,8.830776222391356e-13,0.05593622872042108,0.0,31
EB-offset hybrid: main,208.72226166397837,-1.3221494351915624,345.7983065948874,1.3144195503096448e-10,0.2878636761740222,0.15608185354399445,11.0,31
EB-offset hybrid: pairwise,210.35808843058456,0.31367733141462395,308.3059673448847,1.017371684504008e-13,1.7223713443014437e-13,0.035210493273022045,14.0,31
Naive respondents,202.58298058840856,-8.525562339909413,493.0,0.39969691099269766,0.20711850659918707,0.41604892799607707,0.0,32
OLS prediction,210.837419404167,-0.2711235241509655,,,,,,32
EB main,210.08839743918656,-1.0201454891314086,393.06121083515376,2.631575773109784e-09,0.1076043421319926,0.08654249848500893,0.0,32
EB pairwise,210.28515407630823,-0.8233888520097423,378.2771214857412,2.7353451686518066e-14,4.5715846995447196e-14,0.03890521942114165,0.0,32
EB-offset hybrid: main,210.50644524794916,-0.6020976803688143,389.47231246674136,2.7119999767502567e-10,0.08911438446747877,0.06824259797002354,7.0,32
EB-offset hybrid: pairwise,210.9312021117589,-0.17734081655908085,381.71476439979415,1.7630481585924925e-09,2.5764890209388478e-09,0.02168430437264753,8.0,32
Naive respondents,201.73352474053453,-8.83277755003138,506.9999999999999,0.42971246418631176,0.18034956559027338,0.43189929735617416,0.0,33
OLS prediction,208.58250494483767,-1.9837973457282487,,,,,,33
EB main,207.86919033044734,-2.6971119601185762,397.5077236676953,5.8579853708356644e-15,0.2388048866818551,0.15674555539268498,0.0,33
EB pairwise,209.39659507388166,-1.1697072166842588,360.9588370535836,2.87589506329388e-14,5.3535286860104576e-14,0.069333916404739,0.0,33
EB-offset hybrid: main,208.34363238467247,-2.22266990589344,398.02409999272834,3.758854746754192e-10,0.19377267591687528,0.1411537700856779,4.0,33
EB-offset hybrid: pairwise,209.3965950738817,-1.169707216684202,360.9588370535836,2.874682236665826e-14,5.3539035193514656e-14,0.06933391640473902,0.0,33
Naive respondents,199.54083871834598,-10.981405790833321,496.9999999999997,0.4263656107894504,0.2342046731921315,0.4629915283537599,0.0,34
OLS prediction,208.93156228372925,-1.5906822254500526,,,,,,34
EB main,206.92273237583046,-3.5995121333488385,350.93534687383595,3.534880705314429e-09,0.5386499785645295,0.20274365248088627,0.0,34
EB pairwise,210.04382707339462,-0.478417435784678,313.293129531015,2.474808261660847e-15,7.937212241168775e-15,0.04360274234816191,0.0,34
EB-offset hybrid: main,207.84072712319315,-2.6815173859861545,353.8828560601965,3.1890136516838224e-09,0.41130470204103375,0.17424523005184614,7.0,34
EB-offset hybrid: pairwise,210.34091241095723,-0.18133209822207164,316.75726378812055,1.9003225512584223e-14,3.9828608679570743e-14,0.04232189968398818,16.0,34
Naive respondents,199.15893357345718,-11.088016261055202,479.00000000000017,0.4512734186985845,0.22076537849811725,0.489453528574982,0.0,35
OLS prediction,209.4231812491294,-0.8237685853829646,,,,,,35
EB main,208.45709555071488,-1.7898542837974958,333.00057737282555,1.9102765136127065e-10,0.2876890084597977,0.2008659184676611,0.0,35
EB pairwise,210.5894510153907,0.3425011808783154,272.5670306628753,3.4191988358999825e-15,9.202535283950267e-15,0.045715877443106574,0.0,35
EB-offset hybrid: main,209.11963782797167,-1.1273120065407056,301.0993918940892,8.240076450276031e-13,0.2027666884147866,0.15235454343724125,15.0,35
